 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
274,0,NaN,NaN,4536,NaN,NaN,0.000,274,1,255
275,1,0.500,247.500,4536,1.128,1.128,90.000,275,1,255
276,0,NaN,NaN,4536,NaN,NaN,0.000,276,1,255
277,2,485.500,507.500,4536,76.947,0.033,136.268,277,1,255
278,2,552.500,488.000,4536,80.456,0.032,138.785,278,1,255
279,3,1295.500,718.500,4536,3.385,1.128,90.000,279,1,255
280,0,NaN,NaN,4536,NaN,NaN,0.000,280,1,255
281,1,869.500,812.500,4536,1.128,1.128,0.000,281,1,255
282,0,NaN,NaN,4536,NaN,NaN,0.000,282,1,255
283,0,NaN,NaN,4536,NaN,NaN,0.000,283,1,255
284,0,NaN,NaN,4536,NaN,NaN,0.000,284,1,255
285,1,0.500,273.500,4536,1.128,1.128,0.000,285,1,255
286,0,NaN,NaN,4536,NaN,NaN,0.000,286,1,255
287,1,1295.500,39.500,4536,1.128,1.128,90.000,287,1,255
288,7,185.500,269.643,4536,51.123,0.174,11.416,288,1,255
289,1,0.500,636.500,4536,1.128,1.128,0.000,289,1,255
290,0,NaN,NaN,4536,NaN,NaN,0.000,290,1,255
291,2,1295.500,574.000,4536,2.257,1.128,90.000,291,1,255
292,1,457.500,311.500,4536,1.128,1.128,0.000,292,1,255
293,4,324.250,206.000,4536,68.049,0.075,152.924,293,1,255
294,3,1269.833,719.167,4536,26.402,0.145,78.366,294,1,255
295,0,NaN,NaN,4536,NaN,NaN,0.000,295,1,255
296,3,0.833,0.833,4536,2.365,1.615,45.000,296,1,255
297,0,NaN,NaN,4536,NaN,NaN,0.000,297,1,255
298,4,442.250,127.500,4536,2.734,1.863,90.000,298,1,255
299,5,0.500,176.500,4536,62.724,0.101,90.000,299,1,255
300,0,NaN,NaN,4536,NaN,NaN,0.000,300,1,255
301,0,NaN,NaN,4536,NaN,NaN,0.000,301,1,255
302,3,0.500,752.500,4536,3.385,1.128,90.000,302,1,255
303,0,NaN,NaN,4536,NaN,NaN,0.000,303,1,255
304,2,883.500,542.000,4536,2.257,1.128,90.000,304,1,255
305,4,1215.250,924.750,4536,15.970,0.319,100.122,305,1,255
306,0,NaN,NaN,4536,NaN,NaN,0.000,306,1,255
307,0,NaN,NaN,4536,NaN,NaN,0.000,307,1,255
308,0,NaN,NaN,4536,NaN,NaN,0.000,308,1,255
309,0,NaN,NaN,4536,NaN,NaN,0.000,309,1,255
310,0,NaN,NaN,4536,NaN,NaN,0.000,310,1,255
311,6,264.000,359.000,4536,3.875,1.971,60.561,311,1,255
312,0,NaN,NaN,4536,NaN,NaN,0.000,312,1,255
313,0,NaN,NaN,4536,NaN,NaN,0.000,313,1,255
314,1,0.500,277.500,4536,1.128,1.128,0.000,314,1,255
315,0,NaN,NaN,4536,NaN,NaN,0.000,315,1,255
316,0,NaN,NaN,4536,NaN,NaN,0.000,316,1,255
317,1,0.500,279.500,4536,1.128,1.128,0.000,317,1,255
318,0,NaN,NaN,4536,NaN,NaN,0.000,318,1,255
319,7,716.500,695.786,4536,51.447,0.173,127.802,319,1,255
320,0,NaN,NaN,4536,NaN,NaN,0.000,320,1,255
321,4,344.750,247.000,4536,50.441,0.101,149.165,321,1,255
322,3,0.500,244.500,4536,3.385,1.128,90.000,322,1,255
323,1,0.500,358.500,4536,1.128,1.128,0.000,323,1,255
324,0,NaN,NaN,4536,NaN,NaN,0.000,324,1,255
325,0,NaN,NaN,4536,NaN,NaN,0.000,325,1,255
326,0,NaN,NaN,4536,NaN,NaN,0.000,326,1,255
327,0,NaN,NaN,4536,NaN,NaN,0.000,327,1,255
328,3,1295.500,622.500,4536,3.385,1.128,90.000,328,1,255
329,4,460.000,241.500,4536,5.501,0.926,164.506,329,1,255
330,0,NaN,NaN,4536,NaN,NaN,0.000,330,1,255
331,2,755.500,497.500,4536,79.613,0.032,41.276,331,1,255
332,0,NaN,NaN,4536,NaN,NaN,0.000,332,1,255
333,13,20.038,486.577,4536,22.540,0.734,97.076,333,1,255
334,2,1295.500,559.000,4536,2.257,1.128,90.000,334,1,255
335,9,1108.944,448.056,4536,3.668,3.124,161.063,335,1,255
336,2,0.500,27.000,4536,15.290,0.167,90.000,336,1,255
337,3,699.833,884.833,4536,2.365,1.615,45.000,337,1,255
338,2,1295.500,660.000,4536,2.257,1.128,90.000,338,1,255
339,0,NaN,NaN,4536,NaN,NaN,0.000,339,1,255
340,2,352.000,531.500,4536,2.257,1.128,0.000,340,1,255
341,1,1295.500,0.500,4536,1.128,1.128,90.000,341,1,255
342,1,1166.500,971.500,4536,1.128,1.128,0.000,342,1,255
343,4,432.000,486.000,4536,65.463,0.078,91.534,343,1,255
344,8,1295.375,331.625,4536,84.523,0.121,90.024,344,1,255
