"sample_ID","start_measurement","start_equilibration","drying_interval","equilibration_interval","psi_1","psi_2","psi","comment","minutes","campaign"
"FREX_08",2024-07-10 12:29:00,2024-07-10 11:28:00,6900,61,NA,NA,NA,"5.5 sic!",167,"2"
"FREX_08",2024-07-10 13:14:00,2024-07-10 12:32:00,2700,42,30,NA,30,"cav4",212,"2"
"FREX_08",2024-07-10 14:56:00,2024-07-10 14:12:00,6120,44,30,NA,30,NA,314,"2"
"FREX_08",2024-07-10 16:56:00,2024-07-10 16:12:00,7200,44,34,NA,34,NA,434,"2"
"FREX_08",2024-07-10 19:45:00,2024-07-10 19:00:00,10140,45,38,NA,38,NA,603,"2"
"FREX_08",2024-07-10 23:56:00,2024-07-10 23:15:00,15060,41,39,NA,39,NA,854,"2"
"FREX_08",2024-07-11 09:50:00,2024-07-11 09:05:00,35640,45,38,NA,38,NA,1448,"2"
"FREX_08",2024-07-11 17:52:00,2024-07-11 13:38:00,28920,254,39,NA,39,NA,1930,"2"
"FREX_08",2024-07-11 18:36:00,2024-07-11 17:49:00,2640,47,44,NA,44,NA,1974,"2"
"FREX_08",2024-07-12 10:12:00,2024-07-12 09:12:00,56160,60,46.5,NA,46.5,NA,2910,"2"
"FREX_08",2024-07-12 13:08:00,2024-07-12 12:10:00,10560,58,52,NA,52,NA,3086,"2"
"FREX_08",2024-07-12 16:22:00,2024-07-12 15:05:00,11640,77,59,NA,59,"very wilted",3280,"2"
"FREX_08",2024-07-12 17:40:00,2024-07-12 16:58:00,4680,42,NA,NA,NA,"40+, too much air escaping",3358,"2"
