"time","Fs_418","Fs_584","Fs_114","Fs_542","Fs_544","Fs_560","Fs_389","Fs_483","Fs_481","Fs_18","Fs_405","Fs_51","Fs_2","Fs_475","Fs_357","Fs_7","Fs_130","Fs_208"
2023-10-31 10:02:00,10.8921666666667,10.456,17.8665,26.6935,43.823,9.21066666666667,36.1596666666667,13.1255,25.1931666666667,26.2803333333333,30.603,20.851,14.8136666666667,35.7928,31.6358333333333,32.1265,33.4975,21.7146666666667
2023-10-31 11:02:00,10.8908333333333,10.454,17.866,26.693,43.8205,9.21083333333333,36.1568333333333,13.1233333333333,25.1938333333333,26.2756666666667,30.601,20.8496666666667,14.8143333333333,35.794,31.6358333333333,32.1258333333333,33.4975,21.7111666666667
2023-10-31 12:02:00,10.8893333333333,10.4531666666667,17.8655,26.6931666666667,43.8165,9.21133333333333,36.149,13.1201666666667,25.1933333333333,26.2726666666667,30.596,20.8471666666667,14.8151666666667,35.7905,31.6346666666667,32.1243333333333,33.4956666666667,21.7063333333333
2023-10-31 13:02:00,10.8875,10.452,17.8638333333333,26.6931666666667,43.8133333333333,9.211,36.1538,13.119,25.1928333333333,26.2723333333333,30.59,20.8496666666667,14.8148333333333,35.794,31.633,32.1235,33.4971666666667,21.7126666666667
2023-10-31 14:02:00,10.8846666666667,10.4501666666667,17.864,26.6935,43.8138333333333,9.211,36.1543333333333,13.1186666666667,25.1918333333333,26.2721666666667,30.5896666666667,20.8455,14.8146666666667,35.794,31.6326666666667,32.1228333333333,33.4976666666667,21.7136666666667
2023-10-31 15:02:00,10.8796666666667,10.4493333333333,17.863,26.6935,43.8148333333333,9.2114,36.1558333333333,13.1198333333333,25.1928333333333,26.272,30.5905,20.8468333333333,14.8148333333333,35.795,31.631,32.1211666666667,33.4965,21.7143333333333
2023-10-31 16:02:00,10.88,10.4495,17.8634,26.694,43.8178333333333,9.21066666666667,36.1573333333333,13.1223333333333,25.1925,26.273,30.5903333333333,20.8398333333333,14.816,35.796,31.6301666666667,32.121,33.4971666666667,21.7146666666667
2023-10-31 17:02:00,10.88,10.4495,17.864,26.694,43.8205,9.2115,36.1583333333333,13.1216666666667,25.1926666666667,26.273,30.592,20.84,14.8146666666667,35.79825,31.63,32.1226666666667,33.4988333333333,21.714
2023-10-31 18:02:00,10.8806666666667,10.4493333333333,17.8644,26.6951666666667,43.8245,9.21066666666667,36.16,13.123,25.1918333333333,26.276,30.5965,20.8401666666667,14.815,35.799,31.6296666666667,32.1233333333333,33.499,21.714
2023-10-31 19:02:00,10.881,10.4493333333333,17.8645,26.6951666666667,43.8245,9.21066666666667,36.16,13.123,25.1918333333333,26.276,30.5965,20.8401666666667,14.815,35.799,31.6293333333333,32.1228333333333,33.4998333333333,21.7151666666667
