"sample_ID","start_measurement","start_equilibration","drying_interval","equilibration_interval","psi_1","psi_2","psi","comment","minutes","campaign"
"FREX_06","2024-05-31 12:11:00","2024-05-31 11:22:00",1044,49,"28.9",NA,28.9,"first bubbles 9,6",3101,"1"
"FREX_07","2024-05-29 08:37:00",NA,NA,NA,"1.2","1",1.1,NA,0,"1"
"FREX_07","2024-05-29 10:00:00","2024-05-29 09:15:00",83,45,"8.3","12.22",8.3,NA,83,"1"
"FREX_07","2024-05-29 11:20:00","2024-05-29 10:36:00",80,44,"0.7","14",14,NA,163,"1"
"FREX_07","2024-05-29 12:18:00","2024-05-29 11:39:00",58,39,"4.9",NA,4.9,NA,221,"1"
"FREX_07","2024-05-29 14:20:00","2024-05-29 13:19:00",122,61,"16.3",NA,16.3,NA,343,"1"
"FREX_07","2024-05-29 15:57:00","2024-05-29 15:20:00",97,37,"17.9",NA,17.9,NA,440,"1"
"FREX_07","2024-05-29 18:16:00","2024-05-29 17:45:00",139,31,"19.7",NA,19.7,NA,579,"1"
"FREX_07","2024-05-30 00:22:00","2024-05-29 23:36:00",366,46,"20.1",NA,20.1,NA,945,"1"
"FREX_07","2024-05-30 07:45:00","2024-05-30 07:00:00",443,45,"15.6",NA,15.6,"first start 15,6",1388,"1"
"FREX_07","2024-05-30 11:51:00","2024-05-30 11:30:00",246,21,"29.1",NA,29.1,NA,1634,"1"
"FREX_07","2024-05-30 15:44:00","2024-05-30 15:00:00",233,44,"25.3",NA,25.3,NA,1867,"1"
"FREX_07","2024-05-30 18:52:00","2024-05-30 18:00:00",188,52,NA,NA,34,"sample ripped above collar at 34, too weak",2055,"1"
"FREX_07","2024-05-31 12:14:00","2024-05-31 11:22:00",1042,52,NA,NA,38,"38+ rising out of collar first at 24+",3097,"1"
"FREX_08","2024-05-29 08:26:00",NA,NA,NA,"5.44","2.25",2.25,NA,0,"1"
"FREX_08","2024-05-29 10:10:00","2024-05-29 09:15:00",104,55,"2","2.09",2.045,NA,104,"1"
"FREX_08","2024-05-29 11:09:00","2024-05-29 10:36:00",59,33,"6.3","3.39",4.845,NA,163,"1"
"FREX_08","2024-05-29 12:21:00","2024-05-29 11:39:00",72,42,"1.8","1.5",1.65,NA,235,"1"
"FREX_08","2024-05-29 14:25:00","2024-05-29 13:19:00",124,66,"13.8",NA,13.8,NA,359,"1"
"FREX_08","2024-05-29 16:02:00","2024-05-29 15:20:00",97,42,"15.2",NA,15.2,NA,456,"1"
"FREX_08","2024-05-29 18:20:00","2024-05-29 17:45:00",138,35,"15.5",NA,15.5,"first bubbles at 3,5, then wait",594,"1"
"FREX_08","2024-05-30 00:28:00","2024-05-29 23:36:00",368,52,"19.3",NA,19.3,NA,962,"1"
"FREX_08","2024-05-30 08:21:00","2024-05-30 07:53:00",473,28,"16.3",NA,16.3,"sample didnt work, resample",1435,"1"
"FREX_08","2024-05-30 11:51:00","2024-05-30 11:30:00",210,21,"20",NA,20,NA,1645,"1"
"FREX_08","2024-05-30 15:48:00","2024-05-30 15:00:00",237,48,"17.3",NA,17.3,NA,1882,"1"
"FREX_08","2024-05-30 18:55:00","2024-05-30 18:00:00",187,55,"12.3",NA,12.3,"strong bubbles at 12,3, then 15,8",2069,"1"
"FREX_08","2024-05-31 12:18:00","2024-05-31 11:22:00",1043,56,NA,NA,24.7,"bubbles at 24,7 30,7 and 35",3112,"1"
"FASY_01","2024-07-10 09:36:00","2024-07-10 09:10:00",NA,26,"4.8",NA,4.8,"cav5",0,"2"
"FASY_01","2024-07-10 10:20:00","2024-07-10 09:55:00",2640,25,"12.8",NA,12.8,NA,44,"2"
"FASY_01","2024-07-10 11:50:00","2024-07-10 11:28:00",5400,22,"8.7",NA,8.7,"RH rose to 90%",134,"2"
"FASY_01","2024-07-10 12:58:00","2024-07-10 12:32:00",4080,26,"20",NA,20,NA,202,"2"
"FASY_01","2024-07-10 14:37:00","2024-07-10 14:12:00",5940,25,"25.8",NA,25.8,NA,301,"2"
"FASY_01","2024-07-10 16:35:00","2024-07-10 16:12:00",7080,23,"30",NA,30,NA,419,"2"
"FASY_01","2024-07-10 19:26:00","2024-07-10 19:00:00",10260,26,"25.5",NA,25.5,NA,590,"2"
"FASY_01","2024-07-10 23:35:00","2024-07-10 23:15:00",14940,20,"37",NA,37,NA,839,"2"
"FASY_01","2024-07-11 09:53:00","2024-07-11 09:05:00",37080,48,"39",NA,39,NA,1457,"2"
"FASY_01","2024-07-11 17:30:00","2024-07-11 13:38:00",27420,232,"42",NA,42,NA,1914,"2"
"FASY_01","2024-07-11 18:19:00","2024-07-11 17:49:00",2940,30,"45",NA,45,NA,1963,"2"
"FASY_01","2024-07-12 10:15:00","2024-07-12 09:12:00",57360,63,NA,NA,NA,"58",2919,"2"
"FASY_01","2024-07-12 11:22:00","2024-07-12 11:00:00",4020,22,"48",NA,48,NA,2986,"2"
"FASY_01","2024-07-12 12:36:00","2024-07-12 12:10:00",4440,26,"55",NA,55,NA,3060,"2"
"FASY_01","2024-07-12 15:34:00","2024-07-12 15:05:00",10680,29,"55",NA,55,NA,3238,"2"
"FASY_01","2024-07-12 17:45:00","2024-07-12 17:20:00",7860,25,NA,NA,65,"65+",3369,"2"
"FASY_02","2024-07-10 09:38:00","2024-07-10 09:10:00",NA,28,"2.4",NA,2.4,"cav1",0,"2"
"FASY_02","2024-07-10 10:22:00","2024-07-10 09:55:00",2640,27,"3.9",NA,3.9,NA,44,"2"
"FASY_02","2024-07-10 12:17:00","2024-07-10 11:28:00",6900,49,"11.8",NA,11.8,NA,159,"2"
"FASY_02","2024-07-10 13:00:00","2024-07-10 12:32:00",2580,28,"13.2",NA,13.2,NA,202,"2"
"FASY_02","2024-07-10 14:39:00","2024-07-10 14:12:00",5940,27,"14.7",NA,14.7,NA,301,"2"
"FASY_02","2024-07-10 16:38:00","2024-07-10 16:12:00",7140,26,"28",NA,28,NA,420,"2"
