"campaign","species","sample_id","year","sugar_name","date","sugar_conc"
2,"FREX","FREX_06","2023","sucrose_mg_g",2023-07-17,4.13601199873697
2,"FREX","FREX_06","2023","sucrose_ppm",2023-07-17,3.493
2,"FREX","FREX_06","2023","sugar_weight_mg",2023-07-17,31.67
2,"FREX","FREX_06","2023","total_sugars_mg_g",2023-07-17,46.948176507736
2,"FREX","FREX_07","2023","fructose_mg_g",2023-07-17,9.78
2,"FREX","FREX_07","2023","fructose_ppm",2023-07-17,8.2152
2,"FREX","FREX_07","2023","glucose_mg_g",2023-07-17,28.5329761904762
2,"FREX","FREX_07","2023","glucose_ppm",2023-07-17,23.9677
2,"FREX","FREX_07","2023","glucose_starch_1",2023-07-17,37.8768
2,"FREX","FREX_07","2023","starch_mg_g",2023-07-17,25.9726628571429
2,"FREX","FREX_07","2023","sucrose_mg_g",2023-07-17,1.06452380952381
2,"FREX","FREX_07","2023","sucrose_ppm",2023-07-17,0.8942
2,"FREX","FREX_07","2023","sugar_weight_mg",2023-07-17,31.5
2,"FREX","FREX_07","2023","total_sugars_mg_g",2023-07-17,39.3775
2,"FREX","FREX_08","2023","fructose_mg_g",2023-07-17,8.82350850317902
2,"FREX","FREX_08","2023","fructose_ppm",2023-07-17,6.9482
2,"FREX","FREX_08","2023","glucose_mg_g",2023-07-17,23.5985743886243
2,"FREX","FREX_08","2023","glucose_ppm",2023-07-17,18.56705
2,"FREX","FREX_08","2023","glucose_starch_1",2023-07-17,14.9338
2,"FREX","FREX_08","2023","starch_mg_g",2023-07-17,5.46102162005945
2,"FREX","FREX_08","2023","sucrose_mg_g",2023-07-17,1.49322936736211
2,"FREX","FREX_08","2023","sucrose_ppm",2023-07-17,1.18185
2,"FREX","FREX_08","2023","sugar_weight_mg",2023-07-17,29.53
2,"FREX","FREX_08","2023","total_sugars_mg_g",2023-07-17,33.9153122591655
3,"FASY","FASY_01","2023","fructose_mg_g",2023-08-08,25.6352032385988
3,"FASY","FASY_01","2023","fructose_ppm",2023-08-08,20.6859
3,"FASY","FASY_01","2023","glucose_mg_g",2023-08-08,28.2340548578982
3,"FASY","FASY_01","2023","glucose_ppm",2023-08-08,22.783
3,"FASY","FASY_01","2023","glucose_starch_1",2023-08-08,50.65
3,"FASY","FASY_01","2023","starch_mg_g",2023-08-08,18.0773298083278
3,"FASY","FASY_01","2023","sucrose_mg_g",2023-08-08,35.4287012557832
3,"FASY","FASY_01","2023","sucrose_ppm",2023-08-08,28.5886
3,"FASY","FASY_01","2023","sugar_weight_mg",2023-08-08,30.26
3,"FASY","FASY_01","2023","total_sugars_mg_g",2023-08-08,89.2979593522802
3,"FASY","FASY_02","2023","fructose_mg_g",2023-08-08,29.4148891501512
3,"FASY","FASY_02","2023","fructose_ppm",2023-08-08,23.3515
3,"FASY","FASY_02","2023","glucose_mg_g",2023-08-08,37.5243113873027
3,"FASY","FASY_02","2023","glucose_ppm",2023-08-08,29.7893
3,"FASY","FASY_02","2023","glucose_starch_1",2023-08-08,47.0708
3,"FASY","FASY_02","2023","starch_mg_g",2023-08-08,34.152814242526
