"year","campaign","sample_id","vessel_order","species","rmse_fitplc","rmse_spline","p12_fitplc","p50_fitplc","p88_fitplc","p12_lwr","p50_lwr","p88_lwr","p12_upr","p50_upr","p88_upr","p12_spline","p50_spline","p88_spline","date","date_plot"
"2023","2","FASY_02","all","FASY",316.426188466714,2.85577620267317,-3.66179818309988,-4.07655573952971,-4.49067173871507,-3.63520614384549,-4.03784085352828,-4.42808943008589,-3.68847741666812,-4.12614736447083,-4.56430981492845,-3.84202434222954,-4.08089539465432,-4.28891541810181,"2023-07-17",2000-07-17
"2023","2","FASY_02","major","FASY",300.004518412322,2.05948680385417,-3.43441747111558,-3.81967844851779,-4.20449785291263,-3.40561855772754,-3.78829202652141,-4.15893046705527,-3.48004815124986,-3.85252635741591,-4.25593731155678,-3.6594667971888,-3.94070164695874,-4.15894049980971,"2023-07-17",2000-07-17
"2023","2","FASY_03","all","FASY",273.451929426471,2.38069388205093,-3.30411924211513,-3.98580203196345,-4.66693994448569,-3.25636128172205,-3.9458238620405,-4.60834892562469,-3.3529994243261,-4.02430238664861,-4.73603415057415,-3.55521466524482,-4.14563370189195,-4.61250230829388,"2023-07-17",2000-07-17
"2023","2","FASY_03","major","FASY",251.582023421063,2.87728678220196,-2.6830328888561,-3.38593125773023,-4.08913235454404,-2.60527185753429,-3.34563621027532,-4.0507177739896,-2.74259173572171,-3.42581543024396,-4.12808657445997,-2.51390467895001,-3.57929892078721,-4.24040709742177,"2023-07-17",2000-07-17
"2023","2","FASY_04","all","FASY",306.076434850899,2.74575736664413,-2.63631705407583,-3.47438913116152,-4.31249916001158,-2.58593659973214,-3.41313802026848,-4.22672855921325,-2.68381039248485,-3.52417965037231,-4.38585005828753,-3.06080488436511,-3.76747926200866,-4.22260946431234,"2023-07-17",2000-07-17
"2023","2","FASY_04","major","FASY",263.241497581942,4.03460211298936,-1.76753268387135,-2.7220321407109,-3.6765360612838,-1.72178996603917,-2.69581908863,-3.65191751355563,-1.81182455433659,-2.75711809724841,-3.71119573162642,-1.77002412542363,-2.70129231103802,-3.84302839946993,"2023-07-17",2000-07-17
"2023","3","FASY_01","all","FASY",220.828517010874,1.67572525922913,-2.65795918513769,-3.68855036055568,-4.71911468883254,-2.54640090806935,-3.60952143326834,-4.60811383004824,-2.78078299744193,-3.77779815574023,-4.85577389661726,-2.5297501855937,-4.37486076367977,-4.82910360209894,"2023-08-09",2000-08-09
"2023","3","FASY_01","major","FASY",438.746188046647,2.36840041390229,-1.93061497050315,-2.69215196422396,-3.45399300762504,-1.75002150134039,-2.5995810801632,-3.37655397290827,-2.07798137360632,-2.77956333740904,-3.53308423125183,-1.65183210769559,-2.38632077125476,-4.02999841261203,"2023-08-09",2000-08-09
"2023","3","FASY_02","all","FASY",220.622303823193,4.56993521023695,-3.80310779635657,-4.49960932831822,-5.1961479573765,-3.77317429994854,-4.47115160007847,-5.14609068304903,-3.8305641846486,-4.52507390228763,-5.2439530709118,-3.84468581465198,-4.43043532027379,-5.01622161958643,"2023-08-09",2000-08-09
"2023","3","FASY_02","major","FASY",300.578581672325,4.57981244691302,-3.39236088092888,-3.93440308374517,-4.47652785269084,-3.3235488480768,-3.90301356873335,-4.44503244716122,-3.43695862508731,-3.95621248322885,-4.50591042128631,-3.4899198080845,-3.84318975833786,-4.47398291833966,"2023-08-09",2000-08-09
"2023","3","FASY_03","all","FASY",264.434602595644,2.34692364522914,-1.52412685588148,-2.71689949235734,-3.9096192552579,-1.43364318833864,-2.62542204480719,-3.76294881887961,-1.62318435870873,-2.8100820400492,-4.06285991045745,-2.39017181939815,-3.5057620116166,-3.88314163928182,"2023-08-09",2000-08-09
"2023","3","FASY_03","major","FASY",340.821445813496,2.11124430239421,-1.04836051238285,-2.02944232144848,-3.01044617707701,-0.920996708768911,-1.93499990817035,-2.92213701561276,-1.19925977762904,-2.13348124306026,-3.098177957241,-0.326176001757576,-3.21079873710194,-3.51438829279058,"2023-08-09",2000-08-09
