year,campaign,sample_id,date,rwc_class,rwc_interval,gmin_mean,gmin_min,gmin_max
2023,3,FREX_06,11.08.2023,rwc_class_tlp,rwc_tlp_90,1.623323441,1.636728182,1.609918699
2023,3,FREX_06,11.08.2023,rwc_class_70_80,70-80,1.486654966,1.489801931,1.483508001
2023,3,FREX_06,11.08.2023,rwc_class_65_70,65-70,1.44262018,1.44262018,1.44262018
2023,3,FREX_07,11.08.2023,rwc_class_90,90+,6.52591816,6.685630923,6.366205397
2023,3,FREX_07,11.08.2023,rwc_class_tlp,rwc_tlp_90,3.315331165,3.339663694,3.290998635
2023,3,FREX_07,11.08.2023,rwc_class_80_90,80-90,3.939768182,3.961569508,3.917966856
2023,3,FREX_07,11.08.2023,rwc_class_standard,standard,3.30897542,3.333081552,3.284869288
2023,3,FREX_07,11.08.2023,rwc_class_70_80,70-80,3.181669068,3.194971783,3.168366353
2023,3,FREX_07,11.08.2023,rwc_class_65_70,65-70,2.774434578,2.782200695,2.766668461
2023,3,FREX_08,11.08.2023,rwc_class_90,90+,1.448632397,1.458127205,1.439137588
2023,3,FREX_08,11.08.2023,rwc_class_80_90,80-90,0.827558224,0.832390402,0.822726046
2023,3,FREX_08,11.08.2023,rwc_class_standard,standard,0.756297451,0.757606829,0.754988072
2023,3,FREX_08,11.08.2023,rwc_class_tlp,rwc_tlp_90,0.751795056,0.752781551,0.750808561
2023,3,FREX_08,11.08.2023,rwc_class_70_80,70-80,0.740041184,0.74004125,0.740041117
2023,3,FREX_08,11.08.2023,rwc_class_65_70,65-70,0.74004105,0.74004105,0.74004105
2023,4,FASY_01,18.09.2023,rwc_class_90,90+,4.795156395,4.799405028,4.790907762
2023,4,FASY_01,18.09.2023,rwc_class_80_90,80-90,4.55462343,4.563471509,4.545775351
2023,4,FASY_01,18.09.2023,rwc_class_standard,standard,4.291532121,4.304630486,4.278433756
2023,4,FASY_01,18.09.2023,rwc_class_tlp,rwc_tlp_90,4.291532121,4.304630486,4.278433756
2023,4,FASY_01,18.09.2023,rwc_class_70_80,70-80,4.217871044,4.226010241,4.209731847
2023,4,FASY_01,18.09.2023,rwc_class_65_70,65-70,3.992216438,3.997082721,3.987350155
2023,4,FASY_02,18.09.2023,rwc_class_90,90+,2.075424312,2.077230463,2.073618161
2023,4,FASY_02,18.09.2023,rwc_class_tlp,rwc_tlp_90,1.852091555,1.857184063,1.846999047
2023,4,FASY_02,18.09.2023,rwc_class_80_90,80-90,1.959310905,1.962956226,1.955665584
2023,4,FASY_02,18.09.2023,rwc_class_standard,standard,1.845674311,1.850631237,1.840717385
2023,4,FASY_02,18.09.2023,rwc_class_70_80,70-80,1.812867101,1.815870548,1.809863655
2023,4,FASY_02,18.09.2023,rwc_class_65_70,65-70,1.722510064,1.724203315,1.720816813
2023,4,FASY_03,18.09.2023,rwc_class_90,90+,4.920309004,4.927681182,4.912936826
2023,4,FASY_03,18.09.2023,rwc_class_tlp,rwc_tlp_90,3.973562197,4.000536249,3.946588145
2023,4,FASY_03,18.09.2023,rwc_class_80_90,80-90,4.472041563,4.487113943,4.456969183
2023,4,FASY_03,18.09.2023,rwc_class_standard,standard,3.896755512,3.922698568,3.870812456
2023,4,FASY_03,18.09.2023,rwc_class_70_80,70-80,3.798447348,3.815514243,3.781380452
2023,4,FASY_03,18.09.2023,rwc_class_65_70,65-70,3.250117258,3.261467678,3.238766838
2023,4,FASY_04,18.09.2023,rwc_class_90,90+,3.506533938,3.508733288,3.504334589
2023,4,FASY_04,18.09.2023,rwc_class_80_90,80-90,3.371877686,3.376426965,3.367328407
2023,4,FASY_04,18.09.2023,rwc_class_standard,standard,3.219524283,3.227330926,3.21171764
2023,4,FASY_04,18.09.2023,rwc_class_tlp,rwc_tlp_90,3.213012131,3.220733428,3.205290834
2023,4,FASY_04,18.09.2023,rwc_class_70_80,70-80,3.177443172,3.182565018,3.172321325
2023,4,FASY_04,18.09.2023,rwc_class_65_70,65-70,3.021601,3.025199226,3.018002774
2023,4,FREX_05,18.09.2023,rwc_class_90,90+,13.03145229,13.25633891,12.80656567
2023,4,FREX_05,18.09.2023,rwc_class_80_90,80-90,7.514115146,7.641720472,7.386509821
2023,4,FREX_05,18.09.2023,rwc_class_standard,standard,5.308393138,5.38969201,5.227094266
2023,4,FREX_05,18.09.2023,rwc_class_tlp,rwc_tlp_90,5.223711313,5.300909968,5.146512659
2023,4,FREX_05,18.09.2023,rwc_class_70_80,70-80,5.342372539,5.383812305,5.300932773
2023,4,FREX_05,18.09.2023,rwc_class_65_70,65-70,3.549434277,3.592035692,3.506832863
2023,4,FREX_06,18.09.2023,rwc_class_90,90+,6.546898492,6.657320069,6.436476915
2023,4,FREX_06,18.09.2023,rwc_class_80_90,80-90,3.513367969,3.562424124,3.464311813
2023,4,FREX_06,18.09.2023,rwc_class_standard,standard,2.725855137,2.746022779,2.705687495
2023,4,FREX_06,18.09.2023,rwc_class_tlp,rwc_tlp_90,2.712171987,2.731239582,2.693104393
2023,4,FREX_06,18.09.2023,rwc_class_70_80,70-80,2.574419981,2.576704163,2.5721358
2023,4,FREX_06,18.09.2023,rwc_class_65_70,65-70,2.393892857,2.400444882,2.387340832
2023,4,FREX_07,18.09.2023,rwc_class_90,90+,7.298115138,7.442585931,7.153644345
2023,4,FREX_07,18.09.2023,rwc_class_80_90,80-90,3.791578967,3.8308,3.752357933
2023,4,FREX_07,18.09.2023,rwc_class_standard,standard,3.214859111,3.232187495,3.197530726
2023,4,FREX_07,18.09.2023,rwc_class_tlp,rwc_tlp_90,3.184296334,3.199245393,3.169347274
2023,4,FREX_07,18.09.2023,rwc_class_70_80,70-80,3.090080158,3.094964351,3.085195965
2023,4,FREX_07,18.09.2023,rwc_class_65_70,65-70,2.897054327,2.901568039,2.892540615
2023,4,FREX_08,18.09.2023,rwc_class_90,90+,12.48550498,12.8015456,12.16946435
2023,4,FREX_08,18.09.2023,rwc_class_80_90,80-90,5.695682389,5.771177379,5.620187398
2023,4,FREX_08,18.09.2023,rwc_class_standard,standard,6.128225318,6.156112642,6.100337994
2023,4,FREX_08,18.09.2023,rwc_class_tlp,rwc_tlp_90,6.12822829,6.158809808,6.097646771
2023,4,FREX_08,18.09.2023,rwc_class_70_80,70-80,6.676602775,6.688920951,6.664284599
2023,4,FREX_08,18.09.2023,rwc_class_65_70,65-70,5.405910589,5.47003113,5.341790048
2024,1,FREX_05,28.05.2024,rwc_class_90,90+,8.604907331,8.920904355,8.288910308
2024,1,FREX_05,28.05.2024,rwc_class_80_90,80-90,2.431817298,2.444143819,2.419490778
2024,1,FREX_05,28.05.2024,rwc_class_standard,standard,1.79829059,1.809125175,1.787456005
2024,1,FREX_05,28.05.2024,rwc_class_tlp,rwc_tlp_90,1.690641394,1.69833078,1.682952008
