year,campaign,date,sample_id,species,rmse_fitplc,p12_fitplc,p50_fitplc,p88_fitplc,p12_lwr,p50_lwr,p88_lwr,p12_upr,p50_upr,p88_upr,rmse_spline,p12_spline,p50_spline,p88_spline,,date_plot,vessel_order
2024,2,09.07.2024,FREX_07,FREX,5.564303295,-4.445856684,-4.632400107,-4.760054132,-4.389112602,-4.619548405,-4.719742425,-4.497789219,-4.648296571,-4.807332953,4.63042425,-4.263938766,-4.642561132,-4.901403995,,09.07.2000,all
2024,2,09.07.2024,FREX_07,FREX,209.5716276,-3.919534249,-4.481078628,-5.043400431,-3.876495654,-4.457416665,-5.019167432,-3.952084507,-4.50482426,-5.068158579,5.128135386,-3.737883297,-4.618448866,-4.912650343,,09.07.2000,major
2024,2,09.07.2024,FREX_08,FREX,6.593085409,-3.247523176,-4.287170915,-5.151623413,-3.200585114,-4.269244983,-5.071201462,-3.29409289,-4.305446701,-5.240298057,2.036628805,-3.451128422,-4.239438042,-6.638338685,,09.07.2000,all
2024,2,09.07.2024,FREX_08,FREX,7.208932007,-2.991750875,-4.026037504,-4.899625359,-2.933425301,-4.015775248,-4.845603684,-3.047846258,-4.034575848,-4.959202332,2.276424476,-3.497625168,-3.908539417,-6.056182464,,09.07.2000,major
2024,3,13.08.2024,FASY_01,FASY,2.515220062,-3.422865982,-4.075188148,-4.573529369,-3.387948643,-4.064299378,-4.560483686,-3.455943024,-4.089124619,-4.589844058,1.562163516,-3.578950765,-4.0820386,-4.585122856,,13.08.2000,all
2024,3,13.08.2024,FASY_01,FASY,3.291683482,-3.013888281,-3.735561622,-4.305409587,-2.947951484,-3.706645309,-4.292674323,-3.058663988,-3.755854542,-4.320293048,2.886524063,-3.18847929,-3.752160056,-4.315909346,,13.08.2000,major
2024,3,13.08.2024,FASY_02,FASY,1.629276207,-3.718285663,-4.09772406,-4.369708188,-3.693158407,-4.087973741,-4.360511168,-3.732758646,-4.104394795,-4.386538656,1.824662076,-3.704167719,-4.063151729,-4.409094946,,13.08.2000,all
2024,3,13.08.2024,FASY_02,FASY,3.079558075,-3.047510248,-3.726271361,-4.256291225,-3.01389023,-3.712662377,-4.237903187,-3.089994304,-3.742944167,-4.278574764,3.962173635,-3.18744225,-3.691579654,-4.195712607,,13.08.2000,major
2024,3,13.08.2024,FASY_03,FASY,2.28342965,-4.470865042,-5.282600499,-5.898859153,-4.429168603,-5.255120595,-5.874485912,-4.541975444,-5.324843571,-5.923350861,2.146363554,-4.488637431,-5.324066773,-5.86715741,,13.08.2000,all
2024,3,13.08.2024,FASY_03,FASY,3.592237085,-3.70288422,-4.777110931,-5.65365564,-3.603280726,-4.718020881,-5.609131201,-3.820204414,-4.847789785,-5.703636227,1.835338368,-3.985697006,-4.610384852,-5.816640833,,13.08.2000,major
