SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,13:44:37,2024-06-01,darkfl_hainich,rebeccatest,,fasy,001,052,0.092455,2.915258,0.089613,0.841461,1.771267,1.755551,2.682901,0.911634,17.676905,17.835154,27.014530,0.298530,1.800000,PSF-01225_20240601134437_f68,63.392757,63.112377,-0.004443,0.000000,0.000000,0.000000,0.5,0.80,-0.001139,1.000000,63.19,62.63,22.90,22.18,22.18,99.31,155.9,127.4,18.3,1,3.901,13:36:34,2024-06-01,0.14,1,-0.001,-0.001,-0.004,0.165,0.036,0.001,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.455183,2.441671,1.659634,0.872725,0.296565,-0.007118,0.181102,0.107705,63.392757,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601134437_f68,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
10,13:46:03,2024-06-01,darkfl_hainich,rebeccatest,,fasy,002,052,0.112274,2.914693,0.108109,1.024400,1.786893,1.767754,2.706655,0.919762,17.799782,17.992489,27.253712,0.298530,1.800000,PSF-01225_20240601134603_a9c,71.936485,71.398254,-0.007538,0.000000,0.000000,0.000000,0.5,0.80,-0.001888,1.000000,63.32,62.65,23.01,22.33,22.33,99.31,155.8,152.0,2.5,1,3.899,13:36:34,2024-06-01,0.14,1,0.002,-0.000,-0.001,0.080,0.011,-0.065,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.455191,2.441821,1.659045,0.934334,0.295270,-0.006726,0.190247,0.107694,71.936485,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601134603_a9c,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
11,13:47:52,2024-06-01,darkfl_hainich,rebeccatest,,fasy,003,052,0.026287,2.914977,0.026052,0.246050,1.803603,1.799008,2.720240,0.916637,18.114113,18.160381,27.389950,0.298530,1.800000,PSF-01225_20240601134752_aab,68.897720,69.202423,0.004403,0.000000,0.000000,0.000000,0.5,0.80,0.001157,1.000000,63.27,63.11,23.18,22.41,22.41,99.32,155.9,133.3,14.5,1,3.898,13:47:18,2024-06-01,0.20,1,0.000,0.000,-9999.000,0.083,0.024,-9999.000,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.455729,2.441652,1.659340,0.887347,0.293303,-0.007718,0.201622,0.107716,68.897720,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601134752_aab,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
12,13:48:34,2024-06-01,darkfl_hainich,rebeccatest,,fasy,004,052,0.148315,2.917554,0.141140,1.297661,1.814838,1.790656,2.707134,0.892296,18.030655,18.274149,27.258947,0.298530,1.800000,PSF-01225_20240601134834_fb9,95.318558,97.103477,0.018382,0.000000,0.000000,0.000000,0.5,0.80,0.004830,1.000000,63.47,62.62,23.23,22.33,22.33,99.31,156.2,134.7,13.8,1,3.896,13:47:18,2024-06-01,0.20,1,-0.001,-0.001,-0.004,0.156,-0.189,-0.002,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.455132,2.441881,1.662034,0.890668,0.292694,-0.009230,0.205908,0.107716,95.318558,0.000213,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601134834_fb9,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
13,13:49:42,2024-06-01,darkfl_hainich,rebeccatest,,frex,005,052,0.173023,2.915432,0.163330,1.519769,1.820260,1.791894,2.723188,0.902928,18.043533,18.329165,27.421223,0.298530,1.800000,PSF-01225_20240601134942_742,61.376808,60.785652,-0.009725,0.000000,0.000000,0.000000,0.5,0.80,-0.002555,1.000000,63.37,62.38,23.31,22.43,22.43,99.31,155.9,147.5,5.4,1,3.893,13:47:18,2024-06-01,0.20,1,-0.007,-0.001,-0.005,0.069,-0.135,-0.088,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.454834,2.441752,1.659815,0.922905,0.291820,-0.008983,0.212747,0.107716,61.376808,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601134942_742,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
14,13:50:58,2024-06-01,darkfl_hainich,rebeccatest,,frex,006,052,0.094784,2.916119,0.091800,1.010726,1.828604,1.809751,2.895979,1.067375,18.223713,18.413553,29.161737,0.298530,1.800000,PSF-01225_20240601135058_510,56.346416,55.847168,-0.008940,0.000000,0.000000,0.000000,0.5,0.80,-0.002282,1.000000,63.30,62.65,23.40,23.44,23.44,99.31,156.0,134.4,13.8,1,3.892,13:47:18,2024-06-01,0.20,1,0.001,-0.001,0.005,-0.079,-0.015,0.026,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.455137,2.441650,1.660532,0.890022,0.290716,0.001630,0.220431,0.107703,56.346416,0.000209,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601135058_510,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
15,13:52:17,2024-06-01,darkfl_hainich,rebeccatest,,frex,007,052,0.274900,2.915454,0.251213,2.413221,1.862231,1.817217,2.793712,0.931481,18.301424,18.754768,28.135832,0.298530,1.800000,PSF-01225_20240601135217_709,64.906952,64.344048,-0.008748,0.000000,0.000000,0.000000,0.5,0.80,-0.002311,1.000000,64.09,62.54,23.50,22.85,22.85,99.29,155.9,154.4,1.0,1,3.890,13:47:18,2024-06-01,0.20,1,0.002,0.000,0.003,0.018,0.126,-0.068,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.454996,2.442596,1.659838,0.940529,0.289598,-0.006364,0.228291,0.107719,64.906952,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601135217_709,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
16,13:53:37,2024-06-01,darkfl_hainich,rebeccatest,,frex,008,052,0.044389,2.914029,0.043723,0.436282,1.824606,1.816455,2.792377,0.967772,18.293381,18.375463,28.121820,0.298530,1.800000,PSF-01225_20240601135337_5db,112.839104,111.989380,-0.007588,0.000000,0.000000,0.000000,0.5,0.80,-0.001983,1.000000,62.48,62.20,23.58,22.84,22.84,99.30,155.8,141.5,9.1,1,3.886,13:47:18,2024-06-01,0.20,1,-0.000,0.001,0.000,-0.108,-0.116,0.025,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.454572,2.440625,1.658353,0.907731,0.288627,-0.007431,0.236124,0.107714,112.839104,0.000215,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601135337_5db,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
17,13:58:32,2024-06-01,darkfl_hainich,rebeccatest,,fasy,001,060,0.151740,2.913599,0.144228,1.405990,1.854610,1.828346,2.799778,0.945167,18.415361,18.679895,28.199755,0.298530,1.800000,PSF-01225_20240601135832_d57,100.602509,99.517105,-0.010907,0.000000,0.000000,0.000000,0.5,0.80,-0.002802,1.000000,62.55,61.67,23.83,22.88,22.88,99.28,155.7,133.2,14.5,1,3.882,13:47:18,2024-06-01,0.20,1,-0.002,-0.001,-0.005,0.089,-0.044,0.129,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.453899,2.440682,1.657906,0.886947,0.285753,-0.009843,0.264543,0.107706,100.602509,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601135832_d57,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
18,14:00:51,2024-06-01,darkfl_hainich,rebeccatest,,fasy,002,060,0.061845,2.914049,0.060560,0.629391,1.866744,1.854991,2.874096,1.007352,18.681049,18.799412,28.944145,0.298530,1.800000,PSF-01225_20240601140051_0a7,212.596542,210.388535,-0.010495,0.000000,0.000000,0.000000,0.5,0.80,-0.002753,1.000000,62.47,62.08,23.96,23.32,23.32,99.30,155.8,144.7,7.1,1,3.880,13:59:50,2024-06-01,0.25,1,-0.002,-0.000,-0.003,-0.095,0.034,0.073,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.454374,2.440506,1.658375,0.915766,0.284265,-0.006371,0.277438,0.107715,212.596542,0.000210,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601140051_0a7,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
19,14:02:12,2024-06-01,darkfl_hainich,rebeccatest,,fasy,003,060,0.065517,2.914422,0.064077,0.661513,1.867694,1.855346,2.868332,1.000637,18.685471,18.809835,28.887405,0.298530,1.800000,PSF-01225_20240601140212_a5a,74.633720,73.825478,-0.010948,0.000000,0.000000,0.000000,0.5,0.80,-0.002686,1.000000,62.32,61.91,24.01,23.28,23.28,99.29,155.8,143.6,7.9,1,3.879,13:59:50,2024-06-01,0.25,1,0.001,-0.001,-0.004,0.102,-0.083,-0.052,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.454166,2.440319,1.658762,0.912809,0.283719,-0.007316,0.284690,0.107685,74.633720,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601140212_a5a,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
20,14:03:42,2024-06-01,darkfl_hainich,rebeccatest,,fasy,004,060,0.051768,2.917660,0.050865,0.530314,1.866920,1.857046,2.877347,1.010426,18.703634,18.803080,28.979801,0.298530,1.800000,PSF-01225_20240601140342_136,149.476654,147.980682,-0.010109,0.000000,0.000000,0.000000,0.5,0.80,-0.002609,1.000000,62.17,61.84,24.04,23.33,23.33,99.29,156.2,138.7,11.2,1,3.876,13:59:50,2024-06-01,0.25,1,-0.001,-0.000,-0.003,0.193,0.043,-0.018,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.454079,2.440129,1.662145,0.900543,0.283338,-0.007109,0.292728,0.107708,149.476654,0.000207,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601140342_136,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
21,14:05:20,2024-06-01,darkfl_hainich,rebeccatest,,frex,005,060,0.247659,2.915737,0.228270,2.235805,1.906461,1.864785,2.855657,0.949196,18.780865,19.200598,28.760269,0.298530,1.800000,PSF-01225_20240601140520_4fd,60.917973,60.763123,-0.002548,0.000000,0.000000,0.000000,0.5,0.80,-0.000664,1.000000,63.28,61.90,24.10,23.21,23.21,99.29,156.0,155.6,0.3,1,3.874,13:59:50,2024-06-01,0.25,1,-0.002,-0.000,-0.004,0.192,0.089,0.030,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.454142,2.441476,1.660133,0.943542,0.282733,-0.009181,0.301407,0.107713,60.917973,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601140520_4fd,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
22,14:06:28,2024-06-01,darkfl_hainich,rebeccatest,,frex,006,060,0.063480,2.916552,0.062128,0.725548,1.904469,1.890954,3.035136,1.130667,19.045286,19.181410,30.569242,0.298530,1.800000,PSF-01225_20240601140628_588,86.403969,85.798859,-0.007053,0.000000,0.000000,0.000000,0.5,0.80,-0.001827,1.000000,63.05,62.61,24.14,24.22,24.22,99.29,156.1,141.4,9.4,1,3.872,13:59:50,2024-06-01,0.25,1,0.002,0.000,0.007,-0.107,0.298,0.025,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.454988,2.441190,1.660985,0.907416,0.282245,0.002069,0.307347,0.107710,86.403969,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240601140628_588,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-05-29T13:27:41.891Z
