SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
8,20:06:54,2024-06-05,fvfm_wb,rebecca,,002,004,030,0.026067,2.915622,0.025836,0.346702,1.554590,1.548023,2.873629,1.319039,15.402023,15.467364,28.591118,0.298530,1.800000,PSF-01225_20240605200654_882,131.598480,596.497559,0.779381,0.000000,0.000000,0.000000,0.5,0.80,0.737510,1.000000,51.70,51.49,24.06,23.31,23.31,100.51,156.0,148.6,4.7,2,4.080,20:02:46,2024-06-05,0.20,1,0.001,0.002,-0.026,0.198,0.266,0.787,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441460,2.427330,1.660013,0.925558,0.283101,-0.007601,0.411226,0.108923,131.598480,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605200654_882,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
9,20:07:30,2024-06-05,fvfm_wb,rebecca,,003,001,030,0.026342,2.913423,0.026106,0.301591,1.565489,1.559767,2.701859,1.136370,15.520033,15.576963,26.884100,0.298530,1.800000,PSF-01225_20240605200730_5fd,121.323105,587.194580,0.793385,0.000000,0.000000,0.000000,0.5,0.80,0.672210,1.000000,51.92,51.73,24.11,22.30,22.30,100.50,155.7,125.8,19.2,2,4.078,20:02:46,2024-06-05,0.20,1,-0.001,-0.002,-0.012,-0.132,-0.257,-0.149,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441754,2.427591,1.657723,0.868961,0.282571,-0.019830,0.413998,0.108749,121.323105,0.000216,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605200730_5fd,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
10,20:08:20,2024-06-05,fvfm_wb,rebecca,,003,002,030,0.037787,2.914649,0.037304,0.478093,1.575382,1.566322,2.835148,1.259766,15.585293,15.675446,28.210430,0.298530,1.800000,PSF-01225_20240605200820_39f,127.784729,598.775269,0.786590,0.000000,0.000000,0.000000,0.5,0.80,0.597652,1.000000,52.05,51.75,24.18,23.09,23.09,100.50,155.8,137.5,11.8,2,4.078,20:02:46,2024-06-05,0.20,1,-0.000,0.003,-9999.000,0.326,0.100,-9999.000,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441764,2.427736,1.658999,0.897646,0.281840,-0.011481,0.417768,0.108594,127.784729,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605200820_39f,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
11,20:08:58,2024-06-05,fvfm_wb,rebecca,,003,003,030,0.099783,2.915826,0.096482,1.026134,1.597597,1.578172,2.643925,1.046328,15.703051,15.896324,26.307447,0.298530,1.800000,PSF-01225_20240605200858_180,127.309441,594.319580,0.785790,0.000000,0.000000,0.000000,0.5,0.80,0.446059,1.000000,52.62,51.98,24.23,21.94,21.94,100.50,156.0,148.8,4.6,1,4.077,20:02:46,2024-06-05,0.20,1,0.001,0.004,-0.044,-0.124,0.134,-0.097,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.442045,2.428442,1.660227,0.926186,0.281276,-0.025226,0.420605,0.108255,127.309441,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605200858_180,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
12,20:09:24,2024-06-05,fvfm_wb,rebecca,,003,004,030,0.022114,2.914596,0.021948,0.273886,1.591301,1.586111,2.817995,1.226693,15.781533,15.833173,28.038561,0.298530,1.800000,PSF-01225_20240605200924_140,122.835518,612.260010,0.799374,0.000000,0.000000,0.000000,0.5,0.80,0.365401,1.000000,52.31,52.14,24.26,22.99,22.99,100.50,155.8,142.4,8.6,1,4.076,20:02:46,2024-06-05,0.20,1,-0.001,0.004,-0.032,-0.223,-0.014,0.256,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.442236,2.428051,1.658944,0.909900,0.280908,-0.013605,0.422470,0.108059,122.835518,0.000215,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605200924_140,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
13,20:09:55,2024-06-05,fvfm_wb,rebecca,,001,001,035,0.120056,2.916048,0.115309,1.493544,1.587994,1.559724,2.860939,1.272944,15.519377,15.800666,28.466558,0.298530,1.800000,PSF-01225_20240605200955_e27,117.828728,576.270813,0.795532,0.000000,0.000000,0.000000,0.5,0.80,0.532770,1.000000,52.08,51.16,24.30,23.24,23.24,100.50,156.0,133.0,14.8,2,4.075,20:02:46,2024-06-05,0.20,1,-0.002,-0.004,-0.004,-0.009,0.312,0.894,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441018,2.427763,1.660458,0.886484,0.280483,-0.011167,0.424756,0.108435,117.828728,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605200955_e27,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
14,20:10:34,2024-06-05,fvfm_wb,rebecca,,001,002,035,0.026271,2.914698,0.026036,0.333173,1.587096,1.580782,2.844904,1.257809,15.727885,15.790701,28.305183,0.298530,1.800000,PSF-01225_20240605201034_9cd,132.211090,632.614746,0.791009,0.000000,0.000000,0.000000,0.5,0.80,0.505877,1.000000,51.90,51.69,24.35,23.15,23.15,100.51,155.8,138.6,11.0,2,4.074,20:02:46,2024-06-05,0.20,1,-0.003,-0.003,-0.010,0.028,0.396,0.399,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441667,2.427521,1.659050,0.900490,0.279912,-0.012835,0.427539,0.108382,132.211090,0.000213,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605201034_9cd,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
15,20:10:55,2024-06-05,fvfm_wb,rebecca,,001,003,035,0.059915,2.915861,0.058708,0.743936,1.570667,1.556581,2.816415,1.245747,15.487908,15.628064,28.023193,0.298530,1.800000,PSF-01225_20240605201055_75f,135.723358,672.724121,0.798248,0.000000,0.000000,0.000000,0.5,0.80,0.343876,1.000000,51.27,50.81,24.38,22.98,22.98,100.50,156.0,140.7,9.8,1,4.073,20:02:46,2024-06-05,0.20,1,-0.003,0.000,-9999.000,0.092,0.281,-9999.000,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.440583,2.426745,1.660262,0.905560,0.279607,-0.015071,0.429043,0.108013,135.723358,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605201055_75f,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
16,20:11:19,2024-06-05,fvfm_wb,rebecca,,001,004,035,0.019937,2.918643,0.019802,0.253426,1.573383,1.568596,2.831417,1.258033,15.607490,15.655128,28.172531,0.298530,1.800000,PSF-01225_20240605201119_380,129.832504,612.949829,0.788184,0.000000,0.000000,0.000000,0.5,0.80,0.415023,1.000000,51.27,51.11,24.41,23.07,23.07,100.50,156.3,140.9,9.9,1,4.073,20:02:46,2024-06-05,0.20,1,-0.001,0.001,-0.015,-0.132,0.112,0.334,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.440948,2.426733,1.663177,0.906082,0.279267,-0.014417,0.430723,0.108182,129.832504,0.000210,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605201119_380,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
17,20:11:51,2024-06-05,fvfm_wb,rebecca,,002,001,035,0.020081,2.915930,0.019943,0.270817,1.571657,1.566530,2.906021,1.334364,15.586818,15.637836,28.914629,0.298530,1.800000,PSF-01225_20240605201151_09e,118.997101,577.393066,0.793906,0.000000,0.000000,0.000000,0.5,0.80,0.451149,1.000000,51.09,50.92,24.45,23.50,23.50,100.50,156.0,138.7,11.1,1,4.072,20:02:46,2024-06-05,0.20,1,0.000,-0.001,-9999.000,0.084,-0.024,-9999.000,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.440701,2.426497,1.660335,0.900596,0.278802,-0.009936,0.433025,0.108256,118.997101,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605201151_09e,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
18,20:12:38,2024-06-05,fvfm_wb,rebecca,,002,002,035,0.020241,2.914440,0.020102,0.274151,1.602908,1.597712,2.942657,1.339749,15.896410,15.948100,29.277912,0.298530,1.800000,PSF-01225_20240605201238_35d,131.282333,593.836060,0.778925,0.000000,0.000000,0.000000,0.5,0.80,0.212066,1.000000,51.91,51.74,24.51,23.71,23.71,100.51,155.8,150.6,3.4,1,4.071,20:02:46,2024-06-05,0.20,1,-0.002,-0.003,-0.012,-0.870,-0.917,-0.262,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441708,2.427514,1.658781,0.930603,0.278123,-0.008243,0.436422,0.107733,131.282333,0.000215,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605201238_35d,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
19,20:13:32,2024-06-05,fvfm_wb,rebecca,,002,003,035,0.036084,2.915763,0.035643,0.462197,1.624962,1.616214,2.899041,1.274079,16.079533,16.166569,28.842234,0.298530,1.800000,PSF-01225_20240605201332_cdf,129.332550,597.346191,0.783488,0.000000,0.000000,0.000000,0.5,0.80,0.498212,1.000000,52.39,52.11,24.58,23.46,23.46,100.51,156.0,135.0,13.4,2,4.070,20:13:16,2024-06-05,0.17,1,-0.005,-0.004,-0.017,-0.112,0.015,0.228,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.442145,2.428124,1.660161,0.891474,0.277289,-0.011994,0.440216,0.108375,129.332550,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605201332_cdf,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
20,20:14:01,2024-06-05,fvfm_wb,rebecca,,002,004,035,0.077696,2.915448,0.075679,0.894457,1.612742,1.595806,2.774770,1.162028,15.876893,16.045389,27.606565,0.298530,1.800000,PSF-01225_20240605201401_7ea,121.268036,556.070557,0.781920,0.000000,0.000000,0.000000,0.5,0.80,0.468401,1.000000,51.90,51.36,24.61,22.73,22.73,100.51,155.9,149.3,4.3,1,4.069,20:13:16,2024-06-05,0.17,1,-0.003,-0.000,-0.000,0.084,-0.078,0.015,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441220,2.427518,1.659831,0.927322,0.276967,-0.020674,0.442231,0.108310,121.268036,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605201401_7ea,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
21,20:14:28,2024-06-05,fvfm_wb,rebecca,,003,001,035,0.107061,2.915860,0.103269,1.252095,1.623461,1.599763,2.815260,1.191798,15.915628,16.151394,28.008286,0.298530,1.800000,PSF-01225_20240605201428_fa8,127.511856,655.526184,0.805482,0.000000,0.000000,0.000000,0.5,0.80,0.491323,1.000000,52.19,51.43,24.63,22.97,22.97,100.52,156.0,149.8,4.0,2,4.069,20:13:16,2024-06-05,0.17,1,0.002,0.002,-0.025,-0.107,0.140,0.442,1,150,0.005,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441299,2.427867,1.660262,0.928625,0.276750,-0.018159,0.444131,0.108329,127.511856,0.000213,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605201428_fa8,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T18:00:03.419Z
